Country,State,Crop,Season,Year,Soil_Type,Soil_pH,Soil_Moisture_%,Nitrogen_N,Phosphorus_P,Potassium_K,Temperature_C,Rainfall_mm,Humidity_%,Wind_Speed_kmph,Irrigation_Type,Area_hectare,Yield_kg_per_ha
India,Gujarat ,Banana,Rabi,2006,Clay,7.52,28.5,94,19,36,27.6,1119,60,3.7,Rainfed,14.81,45201.8
India,Tamil Nadu,Maize,Zaid,2025,Laterite,5.9,39.3,112,59,27,19.8,475,54,3.2,Canal,2.89,3287.6
India,Uttar Pradesh,Soybean,Kharif,2015,Red,6.53,59,102,74,117,34.2,727,77,4.5,Drip,5.68,1284.9
India,Gujarat,Chickpea,Kharif,2006,Loamy,7.77,53,74,67,104,28.1,435,80,19.8,Sprinkler,9.98,973
India,Bihar,Mustard,Kharif,2012,Red,6.96,50.5,76,55,80,39.3,285,81,18.1,Rainfed,11.44,1751.8
India,Karnataka,Mustard,Rabi,2009,Laterite,6.31,27.2,72,37,28,17.9,1278,53,22.7,Canal,7.35,1256.2
India,Gujarat,Millet,Kharif,2016,Laterite,5.54,33.2,20,68,48,27.7,1231,70,8.1,Sprinkler,0.71,992.6
India,Rajasthan,Coffee,Kharif,2002,Laterite,6.62,35.2,79,13,75,28.3,487,63,17.3,Drip,5.85,1911.5
India,Uttar Pradesh,Onion,Kharif,2006,Loamy,5.97,39.7,95,50,87,18.7,1852,72,9.7,Canal,13.53,24575.5
India,Tamil Nadu,Sugarcane,Kharif,2010,Loamy,6.99,21.2,65,69,109,34.9,1774,53,4.3,Sprinkler,6.91,80886.1
India,Rajasthan,Maize,Rabi,2012,Red,6.84,43.7,23,71,116,35.5,684,42,19.9,Sprinkler,1.7,3376.3
India,Rajasthan,Groundnut,Zaid,2004,Clay,6.11,34.3,34,20,55,37.4,1108,77,16,Sprinkler,2.58,1947
India,Karnataka,Mango,Zaid,2024,Loamy,5.66,42.5,100,29,101,38.4,1112,55,17.9,Canal,9.27,6568.5
India,Madhya Pradesh,Millet,Kharif,2022,Clay,7.24,20.4,135,16,47,33.7,524,78,4.9,Rainfed,6.51,1207.6
India,Uttar Pradesh,Coffee,Kharif,2018,Loamy,6.85,32.9,31,71,76,36,912,76,16.5,Rainfed,0.78,2165.7
India,Punjab,Maize,Zaid,2014,Sandy,7.44,50.7,20,16,38,16.8,1348,95,8.4,Drip,12.61,4410.8
India,Rajasthan,Groundnut,Rabi,2000,Alluvial,6.1,40,96,73,100,24.6,1101,54,7,Sprinkler,7.82,2050.3
India,Madhya Pradesh,Mustard,Rabi,2004,Alluvial,7,51.6,49,67,66,22.1,886,74,16.6,Canal,11.88,1309
India,Punjab,Tea,Rabi,2012,Black,5.77,48,92,13,57,34.8,990,75,1.6,Rainfed,12.52,1892.7
India,Uttar Pradesh,Sorghum,Rabi,2009,Red,6.17,54.2,69,23,61,22.7,1358,91,22.7,Canal,2.94,1428.3
India,Maharashtra,Wheat,Rabi,2004,Laterite,7.01,20.3,149,32,57,27.5,1858,62,4.9,Sprinkler,13.33,3220.3
India,Bihar,Pigeon Pea,Rabi,2022,Clay,7.4,30.5,25,45,70,25.6,1852,73,11.1,Sprinkler,5.72,897.8
India,Madhya Pradesh,Mustard,Rabi,2000,Loamy,6.24,42,94,33,76,34,1720,79,14.1,Rainfed,3.16,1317.9
India,Andhra Pradesh,Wheat,Rabi,2009,Sandy,7.34,57.6,109,30,57,29.4,1008,94,21,Rainfed,5.97,3579.7
India,Maharashtra,Wheat,Rabi,2017,Clay,7.06,47.2,111,72,103,24.9,1984,60,6.4,Sprinkler,14.63,3501
India,Karnataka,Tomato,Rabi,2021,Black,7.52,25.2,95,78,17,19.1,1031,69,8.1,Drip,14.28,21975.3
India,Gujarat,Banana,Kharif,2007,Clay,6.67,39.7,102,24,83,33,1172,58,13.9,Drip,0.55,50424.8
India,Tamil Nadu,Cotton,Zaid,2019,Alluvial,6.99,37.6,37,40,95,15.8,1952,36,5.1,Drip,3.86,1623.5
India,Andhra Pradesh,Pigeon Pea,Kharif,2002,Sandy,6.64,51.1,31,13,97,26,1066,59,15.9,Sprinkler,11.04,1267.4
India,Karnataka,Mango,Zaid,2018,Alluvial,6.54,36.5,71,13,76,33.2,1375,75,4.8,Canal,12.05,6519.2
India,Uttar Pradesh,Pigeon Pea,Kharif,2018,Sandy,7.45,32.8,106,53,23,24.1,622,60,3,Rainfed,8.04,1026.6
